policy,metric,status,full_mean,partial_mean,mean_label,topics_total,topics_observed,observed_topics,censored_topics
frozen_svm,batch_effort_at_80,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,0,,"C12,C15,C16,C18,GCRIM"
frozen_svm,batch_effort_at_90,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,0,,"C12,C15,C16,C18,GCRIM"
frozen_svm,depth_fraction_at_75,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,0,,"C12,C15,C16,C18,GCRIM"
frozen_svm,depth_fraction_at_80,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,0,,"C12,C15,C16,C18,GCRIM"
frozen_svm,depth_fraction_at_90,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,0,,"C12,C15,C16,C18,GCRIM"
frozen_svm,depth_per_positive_at_75,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,0,,"C12,C15,C16,C18,GCRIM"
frozen_svm,depth_per_positive_at_80,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,0,,"C12,C15,C16,C18,GCRIM"
frozen_svm,depth_per_positive_at_90,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,0,,"C12,C15,C16,C18,GCRIM"
frozen_svm,effort_at_75,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,0,,"C12,C15,C16,C18,GCRIM"
frozen_svm,effort_at_80,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,0,,"C12,C15,C16,C18,GCRIM"
frozen_svm,effort_at_90,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,0,,"C12,C15,C16,C18,GCRIM"
frozen_svm,recall_at_1000,OBSERVED,0.27726194073930915,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
frozen_svm,recall_at_1R_plus_0,OBSERVED,0.2575814323563697,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
frozen_svm,recall_at_1R_plus_100,OBSERVED,0.2832899798769731,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
frozen_svm,recall_at_1R_plus_1000,CENSORED,CENSORED,0.40386629036052385,PARTIAL recall mean: 4/5 topics,5,4,"C12,C16,C18,GCRIM",C15
frozen_svm,recall_at_2R,CENSORED,CENSORED,0.32265070929624895,PARTIAL recall mean: 4/5 topics,5,4,"C12,C16,C18,GCRIM",C15
frozen_svm,recall_at_2R_plus_0,CENSORED,CENSORED,0.32265070929624895,PARTIAL recall mean: 4/5 topics,5,4,"C12,C16,C18,GCRIM",C15
frozen_svm,recall_at_2R_plus_100,CENSORED,CENSORED,0.34682103642398604,PARTIAL recall mean: 4/5 topics,5,4,"C12,C16,C18,GCRIM",C15
frozen_svm,recall_at_2R_plus_1000,CENSORED,CENSORED,0.46396699470197955,PARTIAL recall mean: 4/5 topics,5,4,"C12,C16,C18,GCRIM",C15
frozen_svm,recall_at_4R_plus_0,CENSORED,CENSORED,0.4357156412482021,PARTIAL recall mean: 3/5 topics,5,3,"C12,C16,GCRIM","C15,C18"
frozen_svm,recall_at_4R_plus_100,CENSORED,CENSORED,0.45921651253266355,PARTIAL recall mean: 3/5 topics,5,3,"C12,C16,GCRIM","C15,C18"
frozen_svm,recall_at_4R_plus_1000,CENSORED,CENSORED,0.47404788687128396,PARTIAL recall mean: 2/5 topics,5,2,"C12,C16","C15,C18,GCRIM"
frozen_svm,recall_at_R,OBSERVED,0.2575814323563697,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
random,batch_effort_at_75,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,0,,"C12,C15,C16,C18,GCRIM"
random,batch_effort_at_80,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,0,,"C12,C15,C16,C18,GCRIM"
random,batch_effort_at_90,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,0,,"C12,C15,C16,C18,GCRIM"
random,depth_fraction_at_75,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,0,,"C12,C15,C16,C18,GCRIM"
random,depth_fraction_at_80,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,0,,"C12,C15,C16,C18,GCRIM"
random,depth_fraction_at_90,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,0,,"C12,C15,C16,C18,GCRIM"
random,depth_per_positive_at_75,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,0,,"C12,C15,C16,C18,GCRIM"
random,depth_per_positive_at_80,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,0,,"C12,C15,C16,C18,GCRIM"
random,depth_per_positive_at_90,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,0,,"C12,C15,C16,C18,GCRIM"
random,effort_at_75,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,0,,"C12,C15,C16,C18,GCRIM"
random,effort_at_80,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,0,,"C12,C15,C16,C18,GCRIM"
random,effort_at_90,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,0,,"C12,C15,C16,C18,GCRIM"
random,recall_at_1000,OBSERVED,0.04679484766289136,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
random,recall_at_1R_plus_0,OBSERVED,0.0706854254741179,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
random,recall_at_1R_plus_100,OBSERVED,0.07382780355476334,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
random,recall_at_1R_plus_1000,CENSORED,CENSORED,0.08102109452820302,PARTIAL recall mean: 4/5 topics,5,4,"C12,C16,C18,GCRIM",C15
