topic,policy,metric,status,value,numerator,denominator,seeds_total,seeds_observed,censored_seeds
C12,explore_10,batch_effort_at_90,OBSERVED,1233.0,1233.0,1.0,3,3,
C12,explore_10,depth_fraction_at_75,OBSERVED,0.023701527783777557,1646.0,69447.0,3,3,
C12,explore_10,depth_fraction_at_80,OBSERVED,0.028294958745518167,655.0,23149.0,3,3,
C12,explore_10,depth_fraction_at_90,OBSERVED,0.05057093898944519,3512.0,69447.0,3,3,
C12,explore_10,depth_per_positive_at_75,OBSERVED,1.4400699912510937,1646.0,1143.0,3,3,
C12,explore_10,depth_per_positive_at_80,OBSERVED,1.7191601049868765,655.0,381.0,3,3,
C12,explore_10,depth_per_positive_at_90,OBSERVED,3.0726159230096237,3512.0,1143.0,3,3,
C12,explore_10,effort_at_75,OBSERVED,548.6666666666666,1646.0,3.0,3,3,
C12,explore_10,effort_at_80,OBSERVED,655.0,655.0,1.0,3,3,
C12,explore_10,effort_at_90,OBSERVED,1170.6666666666667,3512.0,3.0,3,3,
C12,explore_10,overshoot_at_75,OBSERVED,35.666666666666664,107.0,3.0,3,3,
C12,explore_10,overshoot_at_80,OBSERVED,53.0,53.0,1.0,3,3,
